order_purchase_year,order_purchase_week,Aavg_freight_charges_per_order
2016,35,39.88
2016,36,14.16
2016,37,23.41
2016,39,15.15
2016,40,21.698912280701748
2016,41,21.25153846153846
2016,42,37.97
2016,51,44.16
2017,1,23.07869565217391
2017,10,21.56290598290598
2017,11,20.599529983792536
2017,12,22.298977099236645
2017,13,21.889946902654867
2017,14,19.723423728813554
2017,15,22.37824324324324
2017,16,20.673310225303297
2017,17,20.573022222222225
2017,18,21.34591424968474
2017,19,22.19764925373135
2017,2,22.38675
2017,20,22.56631078224102
2017,21,21.794096692111967
2017,22,21.17161520190024
2017,23,22.150739436619716
2017,24,21.166118421052627
2017,25,22.019066265060246
2017,26,21.870853658536586
2017,27,22.31528436018958
2017,28,21.475389408099684
2017,29,21.85377456049639
2017,3,23.590656565656566
2017,30,21.922935483870972
2017,31,21.987850655903127
2017,32,21.834867444326623
2017,33,21.212293054234078
2017,34,22.161854748603343
2017,35,21.619208704253218
2017,36,21.784522502744235
2017,37,21.308554319931574
2017,38,21.50284147557327
2017,39,22.033088842975204
2017,4,22.176723163841807
2017,40,21.02622377622378
2017,41,21.704199255121047
2017,42,21.476501736111118
2017,43,21.898883248730975
2017,44,22.75179324894515
2017,45,22.780384300899435
2017,46,21.580181680545053
2017,47,21.159463931171416
2017,48,21.741146919431298
2017,49,21.480706713780922
2017,5,22.066595744680843
2017,50,22.66916073968707
2017,51,21.374480651731158
2017,52,22.801704545454548
2017,6,21.98577617328519
2017,7,22.123807228915656
2017,8,21.72071052631579
2017,9,21.60506986027944
2018,1,21.829073941134247
2018,10,21.99366044551476
2018,11,22.048441396508746
2018,12,22.24046929316339
2018,13,21.75491902834009
2018,14,22.15922500000002
2018,15,20.690102498398474
2018,16,22.101308744794775
2018,17,21.397446555819485
2018,18,21.181935846933055
2018,19,21.379079079079098
2018,2,22.233303621169945
2018,20,21.790772555375494
2018,21,21.447463465553234
2018,22,21.274387568555767
2018,23,21.932322045611635
2018,24,21.384937867887533
2018,25,21.996095563139942
2018,26,21.731622962438003
2018,27,22.060740432612313
2018,28,20.985820895522398
2018,29,21.292609988109408
2018,3,21.362995469988686
2018,30,22.38581423401689
2018,31,21.725012083131983
2018,32,21.625155000000007
2018,33,21.736372809346815
2018,34,22.286194029850737
2018,35,21.72267175572519
2018,36,18.18285714285714
2018,37,19.8025
2018,38,92.39500000000001
2018,39,13.44
2018,4,21.726354556804015
2018,40,12.71
2018,42,13.129999999999999
2018,5,21.642128189172386
2018,6,21.069962358845682
2018,7,21.807142857142875
2018,8,23.10941076487254
2018,9,21.609194139194162
