order_purchase_year,order_purchase_week,avg_order_delivery_time_in_day
2016,35,
2016,36,
2016,37,7.10379E8
2016,39,
2016,40,2.5385486974789914E8
2016,41,2.492219117647059E8
2016,42,
2016,51,6.0822E7
2017,1,1.4930447727272728E8
2017,10,1.6733525226860255E8
2017,11,1.793060741989882E8
2017,12,1.600165728E8
2017,13,1.712377912087912E8
2017,14,1.811947142857143E8
2017,15,1.9602755319148937E8
2017,16,2.0462262794918332E8
2017,17,1.974587361111111E8
2017,18,1.7600367814569536E8
2017,19,1.4331102228047183E8
2017,2,1.91192301369863E8
2017,20,1.3623234598698482E8
2017,21,1.3603918659658346E8
2017,22,1.5088527915632755E8
2017,23,1.56519010989011E8
2017,24,1.653439113233288E8
2017,25,1.469332805642633E8
2017,26,1.4924531092436975E8
2017,27,1.5330700628140703E8
2017,28,1.5935112580645162E8
2017,29,1.4669280765143463E8
2017,3,1.5231078947368422E8
2017,30,1.452770859375E8
2017,31,1.4412906243496358E8
2017,32,1.4402580983606556E8
2017,33,1.4543825147928995E8
2017,34,1.429123910034602E8
2017,35,1.451975504587156E8
2017,36,1.548889841986456E8
2017,37,1.5568059596844873E8
2017,38,1.5417253678756475E8
2017,39,1.5125119052744886E8
2017,4,1.6682820180722892E8
2017,40,1.581484882292733E8
2017,41,1.5639935396518376E8
2017,42,1.5006334054054055E8
2017,43,1.5071269278996864E8
2017,44,1.5749341390728477E8
2017,45,1.6745934327086884E8
2017,46,1.7744964009471193E8
2017,47,2.1611267680218655E8
2017,48,2.1136188192419824E8
2017,49,2.0869339095907146E8
2017,5,1.624687655172414E8
2017,50,1.9630526457725948E8
2017,51,1.9571048849372384E8
2017,52,1.8415545697674417E8
2017,6,1.5815463249516442E8
2017,7,1.7156443193717277E8
2017,8,1.9077451714285713E8
2017,9,1.6518315483870968E8
2018,1,1.7808824944485566E8
2018,10,2.3481262871287128E8
2018,11,2.1740642129032257E8
2018,12,1.801791219512195E8
2018,13,1.7999144968771687E8
2018,14,1.5479829776357827E8
2018,15,1.498288273381295E8
2018,16,1.4892210874848115E8
2018,17,1.4537892391304347E8
2018,18,1.3855021309592187E8
2018,19,1.3758201432958034E8
2018,2,1.7976838386727688E8
2018,20,1.5806579769103903E8
2018,21,1.611200857142857E8
2018,22,1.4956393922651935E8
2018,23,1.3198782389937107E8
2018,24,1.177705238095238E8
2018,25,1.0990668413793103E8
2018,26,1.079320590778098E8
2018,27,1.1083423226351352E8
2018,28,1.458021393442623E8
2018,29,1.170322105263158E8
2018,3,1.7998420290697673E8
2018,30,1.079126388888889E8
2018,31,1.1253096375372393E8
2018,32,1.1014974407826982E8
2018,33,9.888378451543042E7
2018,34,7.101384739336494E7
2018,35,2.8479076923076924E7
2018,36,
2018,37,
2018,38,
2018,39,
2018,4,1.8397391645244217E8
2018,40,
2018,42,
2018,5,2.0227673231357554E8
2018,6,2.146266406451613E8
2018,7,2.08430724375E8
2018,8,2.2724789495066744E8
2018,9,2.4715228771551725E8
