order_purchase_year,order_purchase_week,AVG_review_score
2016,35,3.0
2016,36,5.0
2016,37,4.5
2016,39,5.0
2016,40,3.982456140350877
2016,41,4.3076923076923075
2016,42,1.0
2016,51,5.0
2017,1,3.9782608695652173
2017,10,4.051282051282051
2017,11,4.0275526742301455
2017,12,4.093129770992366
2017,13,4.12212389380531
2017,14,4.091525423728814
2017,15,4.11936936936937
2017,16,3.979202772963605
2017,17,3.9496296296296296
2017,18,4.049180327868853
2017,19,4.028606965174129
2017,2,4.1
2017,20,3.968287526427061
2017,21,4.087786259541985
2017,22,4.038004750593824
2017,23,4.07981220657277
2017,24,4.08421052631579
2017,25,4.061746987951807
2017,26,4.046070460704607
2017,27,4.105450236966824
2017,28,4.018691588785047
2017,29,4.056876938986556
2017,3,3.9393939393939394
2017,30,4.072043010752688
2017,31,4.107971745711403
2017,32,4.026511134676564
2017,33,4.064700285442436
2017,34,4.032402234636871
2017,35,4.025717111770525
2017,36,4.003293084522503
2017,37,4.045337895637297
2017,38,4.000997008973081
2017,39,3.9917355371900825
2017,4,4.019774011299435
2017,40,4.075924075924076
2017,41,4.058659217877095
2017,42,4.079861111111111
2017,43,4.088324873096447
2017,44,4.006329113924051
2017,45,4.021259198691742
2017,46,4.000757002271007
2017,47,4.045665122435473
2017,48,4.102369668246445
2017,49,4.084805653710247
2017,5,4.110638297872341
2017,50,4.0675675675675675
2017,51,4.044806517311609
2017,52,4.017045454545454
2017,6,3.9783393501805056
2017,7,3.8843373493975903
2017,8,4.221052631578948
2017,9,4.05189620758483
2018,1,4.055994256999282
2018,10,4.055388320288983
2018,11,4.071072319201995
2018,12,4.011587485515643
2018,13,4.05195681511471
2018,14,4.07625
2018,15,4.01665598975016
2018,16,4.045806067816776
2018,17,4.061163895486936
2018,18,4.130557118739448
2018,19,4.049049049049049
2018,2,4.0584958217270195
2018,20,4.082658022690437
2018,21,4.0480167014613775
2018,22,4.119744058500914
2018,23,4.059433310297167
2018,24,4.005232177894048
2018,25,4.048464163822525
2018,26,4.033309709425939
2018,27,4.0574043261231285
2018,28,4.007960199004975
2018,29,4.083828775267539
2018,3,4.0396375990939974
2018,30,4.000603136308806
2018,31,4.005799903334944
2018,32,4.0615
2018,33,4.032926181625067
2018,34,4.00839552238806
2018,35,3.816793893129771
2018,36,4.857142857142857
2018,37,4.5
2018,38,3.0
2018,39,5.0
2018,4,4.088014981273409
2018,40,5.0
2018,42,5.0
2018,5,4.083385189794648
2018,6,4.0633626097867
2018,7,4.100303951367781
2018,8,4.003966005665722
2018,9,4.052851909994767
