order_purchase_year,order_purchase_week,total_freight_charges
2016,35,39.88
2016,36,14.16
2016,37,46.82
2016,39,15.15
2016,40,6184.189999999999
2016,41,828.81
2016,42,37.97
2016,51,44.16
2017,1,1061.62
2017,10,12614.3
2017,11,12709.909999999994
2017,12,14605.830000000002
2017,13,12367.82
2017,14,11636.819999999996
2017,15,9935.939999999999
2017,16,11928.500000000002
2017,17,13886.790000000003
2017,18,16927.309999999998
2017,19,17846.910000000003
2017,2,1790.94
2017,20,21347.730000000003
2017,21,17130.160000000007
2017,22,17826.500000000004
2017,23,18872.429999999997
2017,24,16086.249999999996
2017,25,14620.660000000003
2017,26,16140.69
2017,27,18834.100000000006
2017,28,20680.799999999996
2017,29,21132.60000000001
2017,3,4670.95
2017,30,20388.330000000005
2017,31,21789.96
2017,32,20590.280000000006
2017,33,22294.120000000017
2017,34,19834.859999999993
2017,35,21857.020000000004
2017,36,19845.699999999997
2017,37,24909.700000000008
2017,38,21567.34999999999
2017,39,21328.03
2017,4,7850.5599999999995
2017,40,21047.250000000004
2017,41,23310.310000000005
2017,42,24740.930000000008
2017,43,21570.40000000001
2017,44,21568.700000000004
2017,45,27860.410000000007
2017,46,28507.420000000016
2017,47,63943.900000000016
2017,48,45873.820000000036
2017,49,36474.240000000005
2017,5,10371.299999999996
2017,50,31872.84000000002
2017,51,20989.739999999998
2017,52,20065.500000000004
2017,6,12180.119999999995
2017,7,9181.379999999997
2017,8,8253.87
2017,9,10824.14
2018,1,30407.90000000001
2018,10,36531.470000000016
2018,11,35365.700000000026
2018,12,38387.05000000001
2018,13,32240.790000000015
2018,14,35454.76000000003
2018,15,32297.25000000002
2018,16,37152.30000000002
2018,17,36033.30000000001
2018,18,37640.30000000004
2018,19,42715.40000000004
2018,2,39908.78000000005
2018,20,40334.72000000004
2018,21,20546.67
2018,22,23274.180000000008
2018,23,31736.070000000036
2018,24,32697.57000000004
2018,25,32224.280000000013
2018,26,30663.32000000002
2018,27,26517.010000000002
2018,28,21090.75000000001
2018,29,35814.17000000003
2018,3,37727.05000000002
2018,30,37115.68000000001
2018,31,44949.050000000076
2018,32,43250.31000000001
2018,33,40929.590000000055
2018,34,23890.79999999999
2018,35,2845.67
2018,36,127.28
2018,37,79.21
2018,38,184.79000000000002
2018,39,40.32
2018,4,34805.62000000003
2018,40,25.42
2018,42,26.259999999999998
2018,5,34778.90000000002
2018,6,33585.52000000002
2018,7,35872.75000000003
2018,8,40788.11000000003
2018,9,41295.17000000004
